alias_key,raw_alias,language,preferred_targets,notes
seo,seo,en,seo_搜尋引擎優化,curated_v0.2
shell.script,shell.script,en,shell_script,auto_from_registry
sklearn,sklearn,en,scikit-learn|sklearn,from_v0.1
smith_chart,Smith chart,en,阻抗匹配_smith_chart設計能力,auto_from_registry
sony.vegas.vegas.pro/vegas,sony.vegas.vegas.pro/vegas,en,sony_vegas_vegas_pro/vegas,auto_from_registry
sony_vegas,Sony Vegas,en,sony_vegas_vegas_pro/vegas,auto_from_registry
sony_vegas_vegas_pro_vegas,sony_vegas_vegas_pro vegas,en,sony_vegas_vegas_pro/vegas,auto_from_registry
spring.boot,spring.boot,en,spring_boot,auto_from_registry
spring.data,spring.data,en,spring_data,auto_from_registry
spring.framework,spring.framework,en,spring_framework,auto_from_registry
spring_boot,Spring Boot,en,spring_boot,from_v0.1
springboot,SpringBoot,en,spring_boot,from_v0.1
sql,SQL,en,procedural_language_pl/sql,auto_from_registry
sql_server,SQL Server,en,ms_sql_mssql/sql_server,from_v0.1
sun.os,sun.os,en,sun_os,auto_from_registry
systems.administration,systems.administration,en,systems_administration,auto_from_registry
systems.analysis,systems.analysis,en,systems_analysis,auto_from_registry
tcp_ip,tcp ip,en,tcp/ip,auto_from_registry
tf,TF,en,tensorflow,from_v0.1
tiptop,tiptop,en,鼎新tiptop_erp,curated_v0.2
torch,Torch,en,pytorch,from_v0.1
ts,TS,en,typescript,from_v0.1
typescript,TypeScript,en,typescript,from_v0.1
unreal.engine.4,unreal.engine.4,en,unreal_engine_4,auto_from_registry
vb,VB,en,visual_basic_vb,auto_from_registry
vb.net,vb.net,en,vb.net_visual_basic_.net,curated_v0.2
vb.net.visual.basic..net,vb.net.visual.basic..net,en,vb.net_visual_basic_.net,auto_from_registry
vb.script,vb.script,en,vb_script,auto_from_registry
vbnet,vbnet,en,vb.net_visual_basic_.net,curated_v0.2
vegas,Vegas,en,sony_vegas_vegas_pro/vegas,auto_from_registry
vegas_pro,Vegas Pro,en,sony_vegas_vegas_pro/vegas,auto_from_registry
visual.basic.vb,visual.basic.vb,en,visual_basic_vb,auto_from_registry
visual.c#,visual.c#,en,visual_c#,auto_from_registry
visual.c++,visual.c++,en,visual_c++,auto_from_registry
visual.foxpro,visual.foxpro,en,visual_foxpro,auto_from_registry
visual.j#,visual.j#,en,visual_j#,auto_from_registry
visual.j++,visual.j++,en,visual_j++,auto_from_registry
visual.sourcesafe,visual.sourcesafe,en,visual_sourcesafe,auto_from_registry
visual_basic,Visual basic,en,visual_basic_vb,auto_from_registry
visual_basic_.net,Visual Basic .net,en,vb.net_visual_basic_.net,auto_from_registry
visual_studio,Visual Studio,en,visual_studio_microsoft_visual_studio,auto_from_registry
vue,Vue,en,vue.js_vue/vuejs,from_v0.1
vue.js,Vue.js,en,vue.js_vue/vuejs,from_v0.1
vue.js.vue/vuejs,vue.js.vue/vuejs,en,vue.js_vue/vuejs,auto_from_registry
vue.js_vue_vuejs,vue.js_vue vuejs,en,vue.js_vue/vuejs,auto_from_registry
vuejs,VueJS,en,vue.js_vue/vuejs,from_v0.1
waf,WAF,en,waf_web_application_firewall,auto_from_registry
waf.web.application.firewall,waf.web.application.firewall,en,waf_web_application_firewall,auto_from_registry
web_application_firewall,Web Application Firewall,en,waf_web_application_firewall,auto_from_registry
windows.10,windows.10,en,windows_10,auto_from_registry
windows.11,windows.11,en,windows_11,auto_from_registry
